"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"American Battle Monuments Commission","Agency Overall","2024","N/A","N/A","N/A","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","16 U.S.C. § 824o-1(d)","N/A","Information pertaining to Critical Electric Infrastructure Security ","15"
"Office of Special Counsel","Agency Overall","2024","N/A","N/A","N/A","0"
"Commission of Fine Arts","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","2"
"United States Copyright Office","Agency Overall","2024","N/A","N/A","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2024","N/A","N/A","N/A","0"
"Federal Open Market Committee","Agency Overall","2024","N/A","N/A","N/A","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","N/A","N/A","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","N/A","N/A","N/A","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","N/A","N/A","N/A","0"
"Office of the National Cyber Director","Agency Overall","2024","N/A","N/A","N/A","0"
"Department of Health and Human Services","Agency Overall","2024","42 U.S.C. § 242m(d)","N/A","Identifiable information for certain research and statistical activities","14"
"Department of Health and Human Services","Agency Overall","2024","22 U.S.C. § 288a(c) ","N/A","Information regarding international programs records are immune from search and disclosure","1"
"Department of Health and Human Services","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-
885, 2012 U.S. Dist. LEXIS
35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d
21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","44"
"Department of Health and Human Services","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Employer Research, Inc. v. U.S. Dep’t of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","7"
"Department of Health and Human Services","Agency Overall","2024","42 U.S.C. § 262a(h)(1)","Civ. Beat L. Ctr. for the Pub. Int. v. CDC, 929 F.3d 1079, 1084-85 (9th Cir. 2019).","Certain categories of information relating to biological agents and toxins","11"
"Department of Health and Human Services","Agency Overall","2024","42 U.S.C. § 299b-22(a)(3)","N/A","Patient safety work product information","1"
"Department of Health and Human Services","Agency Overall","2024"," 5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 §  107(a)(2)) ","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att'ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","2"
"Department of Health and Human Services","Agency Overall","2024","42 U.S.C. § 300aa-25(c)","N/A","Information that may identify an individual who received a vaccine","2"
"Department of Health and Human Services","Agency Overall","2024","42 U.S.C. § 241(f)","N/A","Certain biomedical information about an individual that is gathered or used during the course of biomedical research","2"
"Department of Health and Human Services","Agency Overall","2024","21 U.S.C. § 360i(b)(2)","N/A","Identity of a device user facility which makes a report that a device has or may have caused or contributed to the death of a patient of the facility","1"
"Department of Health and Human Services","Agency Overall","2024","21 U.S.C. § 350d(a)4","N/A","Food Registration Documents","6"
"Department of Health and Human Services","Agency Overall","2024","42 U.S.C. § 282(j)(6)","N/A","Information submitted for publication on clinicaltrials.gov that is not otherwise publicly available","104"
"Department of Health and Human Services","Agency Overall","2024","21 U.S.C. § 331(j)","Anderson v. HHS, 907 F.2d 936, 950-51 (10th Cir. 1990).","Certain information “concerning any method or process which as a trade secret is entitled to protection”","5"
"Department of Health and Human Services","Agency Overall","2024","26 U.S.C. §§ 6103, 6105","Nosal v. IRS, 523 F. Supp. 3d 72, 79 (D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep’of Treasury, 590 F. App’x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App’x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third Parties, and certain tax convention information","2"
"Department of Health and Human Services","Agency Overall","2024","42 U.S.C. § 11137(b)(1)","N/A","National Practitioner Data Bank information","10"
