"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"National Archives and Records Administration","Agency Overall","2024","26 U.S.C. §§ 6103, 6105","Nosal v. IRS, 523 F. Supp. 3d 72, 79 (D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep’of Treasury, 590 F. App’x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App’x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","40"
"National Archives and Records Administration","Agency Overall","2024","42 U.S.C. §§ 2162, 2167, 2168(a)(1)","Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","“Restricted Data” pertaining to atomic weapons and special nuclear material and certain safeguards information for nuclear material","25"
"National Archives and Records Administration","Agency Overall","2024","50 U.S.C. § 3024(i)(1) (formerly at 50 U.S.C. § 403-1(i)(1))","CIA v. Sims, 471 U.S. 159, 167 (1985).","Intelligence sources and methods","111"
"National Archives and Records Administration","Agency Overall","2024","50 U.S.C. § 3507 (formerly at 50 U.S.C. § 403g)","Assassination Archives & Rsch. Ctr. v. CIA, No. 18-5280, 2019 WL 691517 (D.C. Cir. Feb. 15, 2019) (per curiam); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Berman v. CIA, 501 F.3d 1136, 1137 -38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff’d on other grounds, 541 F. 3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: “the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency”","41"
"National Archives and Records Administration","Agency Overall","2024","50 U.S.C. § 3605 (formerly at 50 U.S.C. § 402 note)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App’x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009).","Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees","3"
"National Archives and Records Administration","Agency Overall","2024","54 U.S.C. § 100707 (formerly at 16 U.S.C. § 5937)","Hornbostel v. U.S. Dep’t of the Interior, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Sw. Ctr. for Biological Diversity v. USDA, 314 F.3d 1060, 1062 (9th Cir. 2002); Pease v. U.S. Dep’t of Interior, No. 99-113, slip op. at 2, 4 (D. Vt. Sept. 17, 1999).","Information pertaining to: “endangered, threatened, rare, or commercially valuable” National Park System resources; “mineral or paleontological objects within units of the National Park System”; or “objects of cultural patrimony within units of the National Park System”","1"
"National Archives and Records Administration","Agency Overall","2024","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, § 2, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Sorin v. DOJ, No. 18-99, 2018 WL 6431027 (2d Cir. Dec. 6, 2018) (per curium); Widi v. McNeil, No. 12-CV-00188, 2016 WL 4394724, at *23 (D. Me. Aug 16, 2016); Durham v. U.S. Att’y Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep’t of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","51"
"Department of Education","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","7"
"Department of Education","Agency Overall","2024","20 U.S.C. § 1232g","        ","Identities of students and parents identified in data collected by representatives of the Comptroller General, the Secretary of Education, or State educational authorities in connection with the audit, evaluation, or enforcement of a Federally-supported education program","2"
"Department of Education","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423 (a)(1))","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the
Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D.
Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","1"
"Department of Education","Agency Overall","2024","20 U.S.C. § 1099c-1 ","Bagwell v. U.S. Dep't of Educ., 183 F. Supp. 3d 109, 126-27 (D.D.C. 2016).","Certain program review reports and institutional responses until the Department of Education issues a final program review determination","6"
"Department of Education","Agency Overall","2024","6 U.S.C. § 1504(d)(3)(B)","        ","A cyber threat indicator or defensive measure shared with the federal government under the Cybersecurity Information Sharing Act of 2015","1"
"National Endowment for the Arts","Agency Overall","2024","5 U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b)) ","Wash. Post Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020).","Names of employees who provide information or complaints to the Inspector General","1"
"National Endowment for the Arts","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","1"
"National Council on Disability","Agency Overall","2024","N/A","N/A","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2024","5 U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b))","Wash. Post Co. v. Special  Inspector Gen. for Afg.  Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020). ","Names of employees who provide information or complaints to the Inspector General","1"
"National Aeronautics and Space Administration","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2))","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att'ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","1"
"National Aeronautics and Space Administration","Agency Overall","2024","10 U.S.C. § 3309(b) (formerly at 10 U.S.C. § 2305(g))","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","3"
"National Aeronautics and Space Administration","Agency Overall","2024","22 U.S.C. § 2778(e)","Council for a Livable World v. U.S. Dep't of State, 1998 U.S. Dist. LEXIS 23642 at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998).","Certain information pertaining to export license applications","18"
"National Aeronautics and Space Administration","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep't of the Army, No, Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","5"
"National Aeronautics and Space Administration","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","10"
"National Aeronautics and Space Administration","Agency Overall","2024","50 U.S.C. § 4820(h)(1) (formerly at 50 U.S.C. § 4614(c)(1))","Wis. Project on Nuclear Arms Control v. U.S. Dep’t of Com., 317 F.3d 275, 284 (D.C. Cir. 2003); Times Publ’g Co. v. U.S. Dep’t of Com., 236 F.3d 1286, 1289 -90 (11th Cir. 2001); Lessner v. U.S. Dep’t of Com., 827 F.2d 1333, 1336 -37 (9th Cir. 1987).","Information pertaining to license applications under the Export Administration Act","2"
"Export-Import Bank of the U.S.","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","1"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2)) ","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att’ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","1"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","50 U.S.C. § 3605 (formerly at 50 U.S.C. § 402 note)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App’x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009). ","Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees","4"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","50 U.S.C. § 3024(i)(1) (formerly at 50 U.S.C. § 403-1(i)(1))","CIA v. Sims, 471 U.S. 159, 167 (1985). ","Intelligence sources and methods","4"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","18 U.S.C. § 798","Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); N.Y. Times Co. v. DOJ, No. 14-03776, 2016 WL 5946711, at *6 (S.D.N.Y. Aug. 18, 2016); Adejumobi v. NSA, No. 07-1237, 2007 WL 4247878, at *3 (M.D. Fla. Dec. 3, 2007), aff’d per curiam, 287 F. App’x 770 (11th Cir. 2008); Winter v. NSA, 569 F. Supp. 
545, 546-48 (S.D. Cal. 1983).","Certain classified information pertaining to the communication intelligence and cryptographic devices of the United States or any foreign government","4"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","N/A","N/A","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2024","N/A","N/A","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2024","N/A","N/A","N/A","0"
"Office of Management and Budget","Agency Overall","2024","N/A","N/A","N/A","0"
"National Capital Planning Commission","Agency Overall","2024","N/A","N/A","N/A","0"
"Central Intelligence Agency","Agency Overall","2024","50 U.S.C. § 3507 (formerly at 50 U.S.C. § 403g)","Assassination Archives & Rsch. Ctr. v. CIA, No. 18-5280, 2019 WL 691517 (D.C. Cir. Feb. 15, 2019) (per curiam); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), 
aff’d on other grounds, 541 F. 3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain 
information pertaining to Agency functions or employees, specifically: ""the organization or functions of the Agency, or of the names, official titles, salaries, or numbers of personnel employed by the Agency""","843"
"Central Intelligence Agency","Agency Overall","2024","50 U.S.C. § 3024(i)(1) (formerly at 50 U.S.C. § 403-1(i)(1))","CIA v. Sims, 471 U.S. 159, 167 (1985).","Intelligence sources and methods","842"
"Merit Systems Protection Board","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2)) ","Meyerhoff v. EPA, 958 F.2d 
1498, 1500-02 (9th Cir. 1992); 
Boyd v. Exec. Off. for U.S. 
Att’ys, 161 F. Supp. 3d 1, 7 
(D.D.C. 2015); Seife v. NIH, 
874 F. Supp. 2d 248, 254 
(S.D.N.Y. 2012). ","Confidential financial disclosure report pertaining to certain government employees ","1"
"Council on Environmental Quality","Agency Overall","2024","28 U.S.C. § 652(d)","Yelder v. DOD, 577 F. Supp. 2d 342, 346-47 (D.D.C. 2008). ","Confidential dispute resolution communications.","1"
"Commodity Futures Trading Commission","Agency Overall","2024","7 U.S.C. § 12(a)(1)","Hunt v. Commodity Futures Trading Comm’n, 484 F. Supp. 47, 49 (D.D.C. 1979).","“[D]ata and information that would separately disclose the business transactions or market positions of any person and trade secrets or names of customers,” as well as certain other information concerning, or obtained in, the course of the Commission’s investigations under the Commodity Exchange Act.","2"
"Commodity Futures Trading Commission","Agency Overall","2024","7 U.S.C. § 26(h)(2)(A)","N/A","“[A]ny information, including information provided by a whistleblower to the Commission, which could reasonably be expected to reveal the identity of a whistleblower, . . . unless and until required to be disclosed to a defendant or respondent in connection with a public proceeding instituted by the Commission or any entity described in subparagraph (C).”","3"
"National Indian Gaming Commission","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","1"
"United States African Development Foundation","Agency Overall","2024","5 U.S.C. § 13107 (formerly at 5 U.S.C. app § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","1"
"Office of the United States Trade Representative","Agency Overall","2024","19 U.S.C. § 2155(g)","Intell. Prop. Watch v. U.S. Trade Representative, 205 F. Supp. 3d 334, 345-46 (S.D.N.Y. 2016).","Certain information in connection with trade negotiations that is “submitted in confidence”","7"
"Office of the United States Trade Representative","Agency Overall","2024","50 U.S.C. § 4565(c) (formerly at 50 U.S.C. app. § 2170(c))","N/A","Information or documentary material filed with the Committee on Foreign Investment in the United States","1"
"Social Security Administration","Agency Overall","2024","26 U.S.C. §§ 6103, 6105","Nosal v. IRS, 523 F. Supp. 3d 72, 79 (D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep’of Treasury, 590 F. App’x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App’x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","3"
"Social Security Administration","Agency Overall","2024","42 U.S.C. § 405(r)","Int’l Diatomite Producers Ass’n v. SSA, No. 92-1634, 1993 WL 137286, at *3 (N.D. Cal. Apr. 28, 1993), appeal dismissed per stipulation, No. 93-16204 (9th Cir. Oct. 27, 1993).","Death certificates and records pertaining to deaths provided to the Commissioner of Social Security under this subsection","1"
"Social Security Administration","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2)) ","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att’ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012). ","Confidential financial disclosure report pertaining to certain government employees ","1"
"Armed Forces Retirement Home","Agency Overall","2024","N/A","N/A","N/A","0"
"General Services Administration","Agency Overall","2024","18 U.S.C. § 3123(d)","Labow v. DOJ, 831 F.3d 523, 527-28 (D.C. Cir. 2016); ACLU v. DOJ, 2014 WL 4954121, at *11 (N.D. Cal. Sept. 30, 2014); Manna v. DOJ, 815 F. Supp. 798, 812 (D.N.J. 1993), aff’d on other grounds, 51 F.3d 1158 (3d Cir. 1995).","Certain court “order[s] authorizing or approving the installation and use of a pen register or a trap and trace device”; information pertaining to “the existence of the pen register or trap and trace device or the existence of the investigation”","1"
"General Services Administration","Agency Overall","2024","31 U.S.C. § 3730(b)(2)","N/A","Records pertaining to civil actions for false claims against the United States Government","4"
"General Services Administration","Agency Overall","2024","5 U.S.C. § 407 (formerly at 5 U.S.C. app. 3 § 7(b))","Wash. Post Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020).","Names of employees who provide information or complaints to the Inspector General","2"
"General Services Administration","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","2"
"General Services Administration","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"General Services Administration","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2)) ","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att'ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees ","1"
"General Services Administration","Agency Overall","2024","42 U.S.C. §§ 2000e-5(b), 2000e-8(e)","Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997)); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989). ","Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices","1"
"Department of the Interior","Agency Overall","2024","10 U.S.C. § 3309(b) (formerly at 10 U.S.C. §  2305(g))","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","8"
"Department of the Interior","Agency Overall","2024","16 U.S.C. § 470aaa-8","N/A","Information concerning the nature and specific location of a paleontological resource","3"
"Department of the Interior","Agency Overall","2024","16 U.S.C. § 470hh","Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 29-30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Starkey v. U.S. Dep’t of the Interior, 238 F. Supp. 2d 1188, 1192-94 (S.D. Cal. 2002).","Information pertaining to the nature and location of certain archaeological resources","41"
"Department of the Interior","Agency Overall","2024","16 U.S.C. § 4304","Black Hills Clean Water All. v. USFS, No. 20-5034, 2022 WL 2340440, at *9 (D.S.D. June 29, 2022).","“Information concerning the specific location of any significant cave . . . [that] create[s] a substantial risk
of harm, theft, or destruction of such cave”","3"
"Department of the Interior","Agency Overall","2024","18 U.S.C. § 3509(d)","Corley v. DOJ, 998 F.3d 981, 982-85 (D.C. Cir. 2021).","Certain records containing identifying information pertaining to children involved in criminal proceedings","1"
"Department of the Interior","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","10"
"Department of the Interior","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09- 00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","24"
"Department of the Interior","Agency Overall","2024","54 U.S.C. § 100707 (formerly at 16 U.S.C. § 5937)","Hornbostel v. U.S. Dep’t of the Interior, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Sw. Ctr. for Biological Diversity v. USDA, 314 F.3d 1060, 1062 (9th Cir. 2002); Pease v. U.S. Dep’t of Interior, No. 99-113, slip op. at 2, 4 (D. Vt. Sept. 17, 1999).","Information pertaining to: “endangered, threatened, rare, or commercially valuable” National Park System resources; “mineral or paleontological objects within units of the National Park System”; or “objects of cultural patrimony within units of the National Park System”","11"
"Department of the Interior","Agency Overall","2024","Fed. R. Crim. P. 6(e)¸ enacted by Act of July 30¸ 1977¸ Pub. L. No. 95-78¸§ 2, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Sorin v. DOJ, No. 18-99, 2018 WL 6431027 (2d Cir. Dec. 6, 208) (per curium); Widi v. McNeil, No. 12-00188, 2016 WL 4394724, at *23 (D. Me. Aug. 16, 2016); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records that would reveal some secret aspect pertaining to grand jury proceedings","1"
"Peace Corps","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2)) ","Meyerhoff v. EPA, 958 F.2d 
1498, 1500-02 (9th Cir. 1992); 
Boyd v. Exec. Off. for U.S. 
Att’ys, 161 F. Supp. 3d 1, 7 
(D.D.C. 2015); Seife v. NIH, 
874 F. Supp. 2d 248, 254 
(S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","1"
"Department of Agriculture","Agency Overall","2024","16 U.S.C. § 470hh","Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 29-30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Starkey v. U.S. Dep’t of the Interior, 238 F. Supp. 2d 1188, 1192-94 (S.D. Cal. 2002).","Information pertaining to the nature and location of certain archaeological resources","53"
"Department of Agriculture","Agency Overall","2024","26 U.S.C. §§ 6103, 6105","Nosal v. IRS, 523 F. Supp. 3d 72, 79 (D.D.C. 2021); Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Elec. Priv. Info. Ctr. v. IRS, 910 F.3d 1232, 1237 (D.C. Cir. 2018); Leonard v. U.S. Dep’t of Treasury, 590 F. App’x. 141, 143 -44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App’x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105). ","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","2"
"Department of Agriculture","Agency Overall","2024","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10 -885, 2012 U.S. Dist. Lexis 35233, at *13 -15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09 -CV - 00421, 2011 WL 1303221, at AMS 1 FNS 1 FS 6 REE *6 (D. Nev. Mar. 31, 2011); Hornbostel V. U.S. AMS 3 25 APHIS 1 FS 18 FSIS 1 REE 2 8 Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03 -5257, 2004 WL 1900562 (D.C. Cir. 1 9 4 Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","11"
"Department of Agriculture","Agency Overall","2024","7 U.S.C. § 1502(c)(1)","N/A","Certain information furnished by a producer under the Federal Crop Insurance Act","3"
"Department of Agriculture","Agency Overall","2024","7 U.S.C. § 8791(b)(2)","Cent. Platte Nat. Res. Dist. v. U.S. Dep’t of Agric., 643 F.3d 1142, 1147-48 (8th Cir. 2011); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-38 (D.D.C. 2009).","""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" or ""geospatial information . . . maintained by the Secretary about agricultural land or operations""","227"
"Department of Agriculture","Agency Overall","2024","44 U.S.C. § 3501 note","N/A","Data or information acquired under a pledge of confidentiality for exclusively statistical purposes","7"
"Department of Agriculture","Agency Overall","2024","15 U.S.C. § 638(k)(4)","N/A","Information contained within a Small Business Innovative Research (SBIR) and Small Business Technology Transfer (STTR) program evaluation databases","2"
"Department of Agriculture","Agency Overall","2024","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep’t of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","3"
"Department of Agriculture","Agency Overall","2024","7 U.S.C. § 1636(b)","N/A","Information acquired through the Livestock Mandatory Reporting requirement","1"
"Department of Agriculture","Agency Overall","2024","42 U.S.C. § 262a(h)(1)","Civ. Beat L. Ctr. for the Pub. Int. v. CDC, 929 F.3d 1079, 1084-85 (9th Cir. 2019).","Certain categories of information relating to biological agents and toxins","1"
"Department of Agriculture","Agency Overall","2024","7 U.S.C. § 2276(a)(2)","Strunk v. U.S. Dept. of Interior, 752 F. Supp. 2d 39, 44-45 (D.D.C. 2010).","“[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information”","77"
"U.S. Agency for Global Media","Agency Overall","2024","5 U.S.C. § 13109(a)(2) (formerly at 5 U.S.C. app. 4 § 107(a)(2)) ","Meyerhoff v. EPA, 958 F.2d
1498, 1500-02 (9th Cir. 1992);
Boyd v. Exec. Off. for U.S. Att’ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH,
874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","1"
