"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Council on Environmental Quality","Agency Overall","2024","0","0","1","0","2","1","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2024","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2024","0","0","0","1","2","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2024","0","1","0","0","0","352","0","0","2","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2024","0","0","2","5","5","7","0","0","2","0","0","2","0","0"
"Department of the Interior","Agency Overall","2024","0","0","0","3","7","15","1","0","9","0","0","0","0","0"
"Peace Corps","Agency Overall","2024","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2024","0","0","7","7","29","50","1","0","11","1","2","1","0","0"
"U.S. Agency for Global Media","Agency Overall","2024","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2024","298","47","1171","115","909","2457","469","3","1856","117","1535","66","22","0"
