Agency,Component,Fiscal Year,Number of Backlogged Requests as of End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2020,25,0.0
United States Trade and Development Agency,Agency Overall,2020,45,0.0
U.S. International Development Finance Corporation,Agency Overall,2020,48,0.0
United States Postal Service,Agency Overall,2020,90,1.0
Small Business Administration,Agency Overall,2020,366,16.0
Appraisal Subcommittee,Agency Overall,2020,0,0.0
Surface Transportation Board,Agency Overall,2020,0,0.0
Social Security Administration,Agency Overall,2020,1710,5.0
Marine Mammal Commission,Agency Overall,2020,2,0.0
Gulf Coast Ecosystem Restoration Council,Agency Overall,2020,0,0.0
National Mediation Board,Agency Overall,2020,0,0.0
National Transportation Safety Board,Agency Overall,2020,109,0.0
Office of Government Ethics,Agency Overall,2020,32,0.0
Office of Management and Budget,Agency Overall,2020,638,10.0
Farm Credit Administration,Agency Overall,2020,0,0.0
National Science Foundation,Agency Overall,2020,342,0.0
Merit Systems Protection Board,Agency Overall,2020,50,2.0
United States Institute of Peace,Agency Overall,2020,4,0.0
Social Security Advisory Board,Agency Overall,2020,0,0.0
Council on Environmental Quality,Agency Overall,2020,55,1.0
Administrative Conference of the United States,Agency Overall,2020,0,0.0
Office of Science and Technology Policy,Agency Overall,2020,102,0.0
U.S. Election Assistance Commission,Agency Overall,2020,10,0.0
Millennium Challenge Corporation,Agency Overall,2020,1,0.0
American Battle Monuments Commission,Agency Overall,2020,0,0.0
Federal Election Commission,Agency Overall,2020,12,2.0
Department of Health and Human Services,Agency Overall,2020,8817,694.0
Central Intelligence Agency,Agency Overall,2020,2736,315.0
Selective Service System,Agency Overall,2020,0,0.0
Defense Nuclear Facilities Safety Board,Agency Overall,2020,0,0.0
U.S. Interagency Council on Homelessness,Agency Overall,2020,0,0.0
Federal Trade Commission,Agency Overall,2020,2,0.0
United States African Development Foundation,Agency Overall,2020,1,0.0
U.S. Nuclear Waste Technical Review Board,Agency Overall,2020,0,0.0
Department of Energy,Agency Overall,2020,554,13.0
Department of Housing and Urban Development,Agency Overall,2020,1128,0.0
U.S. Agency for International Development,Agency Overall,2020,372,1.0
Department of Veterans Affairs,Agency Overall,2020,3220,66.0
U.S. Department of State,Agency Overall,2020,13798,254.0
Court Services and Offender Supervision Agency,Agency Overall,2020,0,0.0
Institute of Museum and Library Services,Agency Overall,2020,0,0.0
National Endowment for the Arts,Agency Overall,2020,0,0.0
Equal Employment Opportunity Commission,Agency Overall,2020,898,12.0
Export-Import Bank of the U.S.,Agency Overall,2020,20,0.0
Office of Personnel Management,Agency Overall,2020,200,1.0
Department of Labor,Agency Overall,2020,1714,253.0
Federal Mediation and Conciliation Service,Agency Overall,2020,0,0.0
Federal Deposit Insurance Corporation,Agency Overall,2020,11,0.0
National Aeronautics and Space Administration,Agency Overall,2020,39,0.0
Advisory Council on Historic Preservation,Agency Overall,2020,1,0.0
Postal Regulatory Commission,Agency Overall,2020,0,0.0
James Madison Memorial Fellowship Foundation,Agency Overall,2020,0,0.0
Peace Corps,Agency Overall,2020,80,0.0
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2020,1,0.0
Harry S. Truman Scholarship Foundation,Agency Overall,2020,0,0.0
Department of Defense,Agency Overall,2020,16000,954.0
Environmental Protection Agency,Agency Overall,2020,1783,1.0
Federal Housing Finance Agency,Agency Overall,2020,27,1.0
National Council on Disability,Agency Overall,2020,0,0.0
Privacy and Civil Liberties Oversight Board,Agency Overall,2020,15,0.0
U.S. Agency for Global Media,Agency Overall,2020,42,1.0
Farm Credit System Insurance Corporation,Agency Overall,2020,0,0.0
National Endowment for the Humanities,Agency Overall,2020,4,0.0
National Council on Disability,Agency Overall,2021,0,0.0
United States Copyright Office,Agency Overall,2021,5,0.0
Federal Financial Institutions Examination Council,Agency Overall,2021,1,0.0
National Credit Union Administration,Agency Overall,2021,0,0.0
Pension Benefit Guaranty Corporation,Agency Overall,2021,0,0.0
Commission of Fine Arts,Agency Overall,2021,0,0.0
United States African Development Foundation,Agency Overall,2021,0,0.0
Consumer Product Safety Commission,Agency Overall,2021,465,0.0
Council on Environmental Quality,Agency Overall,2021,37,0.0
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2021,37,1.0
Harry S. Truman Scholarship Foundation,Agency Overall,2021,0,0.0
AmeriCorps,Agency Overall,2021,5,0.0
Advisory Council on Historic Preservation,Agency Overall,2021,6,0.0
Federal Mediation and Conciliation Service,Agency Overall,2021,0,0.0
U.S. Agency for Global Media,Agency Overall,2021,82,3.0
Office of the United States Trade Representative,Agency Overall,2021,5,0.0
Social Security Advisory Board,Agency Overall,2021,0,0.0
National Endowment for the Humanities,Agency Overall,2021,0,0.0
Marine Mammal Commission,Agency Overall,2021,2,0.0
Administrative Conference of the United States,Agency Overall,2021,0,0.0
Legal Services Corporation,Agency Overall,2021,4,0.0
Surface Transportation Board,Agency Overall,2021,0,0.0
Department of the Interior,Agency Overall,2021,4484,355.0
Office of Special Counsel,Agency Overall,2021,4,0.0
Office of Science and Technology Policy,Agency Overall,2021,131,0.0
Federal Energy Regulatory Commission,Agency Overall,2021,25,0.0
Armed Forces Retirement Home,Agency Overall,2021,0,0.0
U.S. Agency for International Development,Agency Overall,2021,396,5.0
Department of Education,Agency Overall,2021,697,42.0
