Agency,Component,Fiscal Year,Number of Full Grants,Number of Partial Grants/Partial Denials,Number of Full Denials Based on Exemptions,No Records,All Records Referred to Another Component or Agency,Request Withdrawn,Fee-Related Reason,Records Not Reasonably Described,Improper FOIA Request for Other Reason,Not Agency Record,Duplicate Request,Other*,Total
Office of Government Ethics,Agency Overall,2019,20,57,7,27,2,6,0,6,0,0,0,0,125
Export-Import Bank of the U.S.,Agency Overall,2019,26,36,4,10,0,2,2,5,0,0,0,0,85
Armed Forces Retirement Home,Agency Overall,2019,3,1,3,0,0,0,0,0,0,0,0,0,7
Department of Housing and Urban Development,Agency Overall,2019,446,489,88,317,248,232,28,18,38,10,101,3,2018
Administrative Conference of the United States,Agency Overall,2019,4,2,0,0,0,0,0,0,0,18,0,0,24
AmeriCorps,Agency Overall,2019,19,20,4,6,0,1,0,1,0,0,0,0,51
Federal Deposit Insurance Corporation,Agency Overall,2019,66,46,24,20,3,18,14,45,36,59,10,0,341
Central Intelligence Agency,Agency Overall,2019,157,331,607,343,66,7,6,32,429,56,93,134,2261
Small Business Administration,Agency Overall,2019,421,195,17,126,2,63,10,23,10,16,40,0,923
Chemical Safety and Hazard Investigation Board,Agency Overall,2019,7,11,7,4,0,4,0,0,1,0,0,0,34
National Labor Relations Board,Agency Overall,2019,246,824,62,64,1,156,25,17,1,3,21,0,1420
National Credit Union Administration,Agency Overall,2019,50,66,9,10,0,5,0,2,2,4,0,0,148
Department of Health and Human Services,Agency Overall,2019,12409,4238,5773,3314,815,3336,746,477,1252,770,653,34,33817
Department of Veterans Affairs,Agency Overall,2019,5406,9500,5018,1262,371,300,64,78,332,23,193,1202,23749
Department of Transportation,Agency Overall,2019,7549,3386,155,2570,18,732,55,13,53,26,58,6,14621
National Council on Disability,Agency Overall,2019,0,0,1,8,0,0,0,2,0,0,0,0,11
U.S. Railroad Retirement Board,Agency Overall,2019,87,0,7,8,1,0,0,0,0,4,2,0,109
Office of Navajo and Hopi Indian Relocation,Agency Overall,2019,25,0,0,0,0,0,0,0,0,0,0,0,25
Millennium Challenge Corporation,Agency Overall,2019,2,4,7,11,1,0,0,1,1,1,0,0,28
Legal Services Corporation,Agency Overall,2019,10,6,0,6,3,0,0,1,0,0,0,0,26
U.S. Agency for Global Media,Agency Overall,2019,10,34,0,13,0,12,0,3,2,0,0,0,74
Neighborhood Reinvestment Corporation,Agency Overall,2019,0,0,0,1,0,0,0,0,0,0,0,0,1
Marine Mammal Commission,Agency Overall,2019,2,0,0,1,0,0,0,4,0,0,0,0,7
National Capital Planning Commission,Agency Overall,2019,3,0,0,4,0,0,0,1,0,0,0,0,8
Postal Regulatory Commission,Agency Overall,2019,6,0,0,8,0,1,0,0,0,0,0,0,15
Federal Labor Relations Authority,Agency Overall,2020,12,37,1,37,0,0,1,3,1,14,1,0,107
Federal Open Market Committee,Agency Overall,2020,5,1,2,1,6,0,0,4,0,0,0,0,19
General Services Administration,Agency Overall,2020,260,549,26,148,41,57,86,89,18,98,57,0,1429
Department of Agriculture,Agency Overall,2020,17800,2548,289,861,105,1024,28,50,61,61,210,66,23103
Pension Benefit Guaranty Corporation,Agency Overall,2020,2684,381,78,114,2,35,8,14,28,1,180,0,3525
Federal Energy Regulatory Commission,Agency Overall,2020,11,37,15,8,0,0,0,0,0,0,0,0,71
Commodity Futures Trading Commission,Agency Overall,2020,40,50,31,37,1,5,0,0,11,2,0,7,184
Armed Forces Retirement Home,Agency Overall,2020,0,1,0,1,0,0,0,0,0,0,0,0,2
Presidio Trust,Agency Overall,2020,3,5,0,3,0,0,2,0,0,0,0,0,13
Federal Reserve System,Agency Overall,2020,280,77,34,82,2,21,2,45,15,46,3,8,615
Consumer Financial Protection Bureau,Agency Overall,2020,67,168,24,55,1,51,1,3,5,23,13,0,411
Tennessee Valley Authority,Agency Overall,2020,79,86,18,27,0,2,12,11,0,4,0,0,239
Federal Financial Institutions Examination Council,Agency Overall,2020,1,0,0,5,0,0,0,0,1,4,0,0,11
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2020,0,0,0,1,0,0,0,1,0,0,0,0,2
Consumer Product Safety Commission,Agency Overall,2020,109,156,203,0,13,18,0,0,4,3,0,0,506
Nuclear Regulatory Commission,Agency Overall,2020,57,78,23,39,1,36,11,21,6,9,7,0,288
Inter-American Foundation,Agency Overall,2020,2,4,0,4,0,0,0,0,0,0,0,0,10
United States International Boundary and Water Commission,Agency Overall,2020,24,6,0,7,0,3,0,0,0,0,0,0,40
Legal Services Corporation,Agency Overall,2020,6,3,1,3,0,0,0,0,0,0,0,0,13
National Security Commission on Artificial Intelligence,Agency Overall,2020,2,0,0,6,1,0,0,0,0,0,0,1,10
Department of Justice,Agency Overall,2020,39256,9514,3291,14379,236,1061,181,681,11347,538,2067,1891,84442
Office of Special Counsel,Agency Overall,2020,21,84,17,23,6,29,0,1,4,4,4,0,193
Federal Maritime Commission,Agency Overall,2020,1,6,1,12,0,0,0,1,0,0,0,0,21
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Securities and Exchange Commission,Agency Overall,2020,6495,764,1113,4119,95,507,27,0,0,52,86,0,13258
Department of Transportation,Agency Overall,2020,5477,4715,186,2434,172,1230,698,131,225,53,72,40,15433
Department of the Interior,Agency Overall,2020,1659,1644,217,1018,52,249,85,131,60,56,128,607,5906
United States International Trade Commission,Agency Overall,2020,3,6,1,20,2,0,0,0,0,1,0,0,33
Department of Homeland Security,Agency Overall,2020,35764,217915,9334,77240,3498,1710,16,2701,25420,1665,17030,330,392623
Federal Retirement Thrift Investment Board,Agency Overall,2020,6,5,0,9,0,5,0,1,1,0,2,0,29
Denali Commission,Agency Overall,2020,11,0,0,0,0,0,0,0,0,0,0,0,11
National Indian Gaming Commission,Agency Overall,2020,9,8,0,7,0,2,0,0,0,0,1,0,27
