Agency,Component,Fiscal Year,"Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
Marine Mammal Commission,Agency Overall,2019,0,0.1,0.1
National Capital Planning Commission,Agency Overall,2019,0,0.05,0.05
Postal Regulatory Commission,Agency Overall,2019,0,1.0,1.0
Federal Labor Relations Authority,Agency Overall,2020,0,0.3,0.3
Federal Open Market Committee,Agency Overall,2020,0,0.5,0.5
General Services Administration,Agency Overall,2020,12,29.61,41.61
Department of Agriculture,Agency Overall,2020,95,162.37,257.37
Pension Benefit Guaranty Corporation,Agency Overall,2020,10,1.58,11.58
Federal Energy Regulatory Commission,Agency Overall,2020,1,2.06,3.06
Commodity Futures Trading Commission,Agency Overall,2020,3,0.0,3.0
Armed Forces Retirement Home,Agency Overall,2020,0,1.0,1.0
Presidio Trust,Agency Overall,2020,0,0.1,0.1
Federal Reserve System,Agency Overall,2020,4,11.0,15.0
Consumer Financial Protection Bureau,Agency Overall,2020,9,17.3,26.3
Tennessee Valley Authority,Agency Overall,2020,1,0.25,1.25
Federal Financial Institutions Examination Council,Agency Overall,2020,0,0.1,0.1
Morris K. Udall and Stewart L. Udall Foundation,Agency Overall,2020,0,0.1,0.1
Consumer Product Safety Commission,Agency Overall,2020,7,1.25,8.25
Nuclear Regulatory Commission,Agency Overall,2020,4,5.4,9.4
Inter-American Foundation,Agency Overall,2020,0,0.2,0.2
United States International Boundary and Water Commission,Agency Overall,2020,0,0.25,0.25
Legal Services Corporation,Agency Overall,2020,0,0.83,0.83
National Security Commission on Artificial Intelligence,Agency Overall,2020,2,1.0,3.0
Department of Justice,Agency Overall,2020,445,78.32,523.32
Office of Special Counsel,Agency Overall,2020,6,4.0,10.0
Federal Maritime Commission,Agency Overall,2020,1,0.17,1.17
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2020,0,0.01,0.01
Securities and Exchange Commission,Agency Overall,2020,30,8.46,38.46
Department of Transportation,Agency Overall,2020,51,201.15,252.15
Department of the Interior,Agency Overall,2020,78,67.28,145.28
United States International Trade Commission,Agency Overall,2020,0,5.0,5.0
Department of Homeland Security,Agency Overall,2020,398,213.45,611.45
Federal Retirement Thrift Investment Board,Agency Overall,2020,1,0.0,1.0
Denali Commission,Agency Overall,2020,0,0.1,0.1
National Indian Gaming Commission,Agency Overall,2020,1,0.0,1.0
National Railroad Passenger Corporation,Agency Overall,2020,0,1.0,1.0
National Archives and Records Administration,Agency Overall,2020,21,21.45,42.45
Department of Education,Agency Overall,2020,23,40.54,63.54
Office of Navajo and Hopi Indian Relocation,Agency Overall,2020,0,0.05,0.05
Neighborhood Reinvestment Corporation,Agency Overall,2020,0,0.75,0.75
National Capital Planning Commission,Agency Overall,2020,0,0.05,0.05
National Labor Relations Board,Agency Overall,2020,16,2.0,18.0
Department of the Treasury,Agency Overall,2020,50,90.37,140.37
U.S. Railroad Retirement Board,Agency Overall,2020,0,3.0,3.0
Commission of Fine Arts,Agency Overall,2020,0,0.5,0.5
U.S. Commission on Civil Rights,Agency Overall,2020,0,3.0,3.0
United States Access Board,Agency Overall,2020,0,0.5,0.5
Office of the United States Trade Representative,Agency Overall,2020,0,1.3,1.3
Occupational Safety and Health Review Commission,Agency Overall,2020,0,1.51,1.51
Chemical Safety and Hazard Investigation Board,Agency Overall,2020,0,0.64,0.64
Office of the Director of National Intelligence,Agency Overall,2020,8,1.0,9.0
Federal Communications Commission,Agency Overall,2020,5,10.24,15.24
AmeriCorps,Agency Overall,2020,0,0.43,0.43
Department of Commerce,Agency Overall,2020,63,39.31,102.31
Office of National Drug Control Policy,Agency Overall,2020,0,0.7,0.7
National Credit Union Administration,Agency Overall,2020,0,2.64,2.64
United States Copyright Office,Agency Overall,2020,0,0.1,0.1
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2020,0,1.0,1.0
Federal Mine Safety and Health Review Commission,Agency Overall,2020,0,1.0,1.0
