Agency,Component,Fiscal Year,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
Pension Benefit Guaranty Corporation,Agency Overall,2021,189,3517,3481,225
Commission of Fine Arts,Agency Overall,2021,0,17,17,0
United States African Development Foundation,Agency Overall,2021,0,1,1,0
Consumer Product Safety Commission,Agency Overall,2021,543,596,548,591
Council on Environmental Quality,Agency Overall,2021,67,105,130,42
Council of the Inspectors General on Integrity and Efficiency,Agency Overall,2021,71,78,109,40
Harry S. Truman Scholarship Foundation,Agency Overall,2021,0,1,1,0
AmeriCorps,Agency Overall,2021,5,47,46,6
Advisory Council on Historic Preservation,Agency Overall,2021,1,21,16,6
Federal Mediation and Conciliation Service,Agency Overall,2021,0,20,19,1
U.S. Agency for Global Media,Agency Overall,2021,46,113,77,82
Office of the United States Trade Representative,Agency Overall,2021,13,93,97,9
Social Security Advisory Board,Agency Overall,2021,1,7,8,0
National Endowment for the Humanities,Agency Overall,2021,7,59,61,5
Marine Mammal Commission,Agency Overall,2021,3,11,8,6
Administrative Conference of the United States,Agency Overall,2021,0,41,41,0
Legal Services Corporation,Agency Overall,2021,1,25,22,4
Surface Transportation Board,Agency Overall,2021,0,48,42,6
Department of the Interior,Agency Overall,2021,4764,6302,5774,5292
Office of Special Counsel,Agency Overall,2021,47,135,169,13
Office of Science and Technology Policy,Agency Overall,2021,102,129,100,131
Federal Energy Regulatory Commission,Agency Overall,2021,53,37,35,55
Armed Forces Retirement Home,Agency Overall,2021,0,9,9,0
U.S. Agency for International Development,Agency Overall,2021,399,329,297,431
Department of Education,Agency Overall,2021,961,2151,2292,820
Department of Health and Human Services,Agency Overall,2021,11230,33158,32952,11436
Department of Housing and Urban Development,Agency Overall,2021,1373,1734,2093,1014
Federal Mine Safety and Health Review Commission,Agency Overall,2021,0,42,40,2
U.S. Interagency Council on Homelessness,Agency Overall,2021,0,0,0,0
United States International Boundary and Water Commission,Agency Overall,2021,27,30,18,39
Gulf Coast Ecosystem Restoration Council,Agency Overall,2021,0,4,4,0
U.S. Commission on Civil Rights,Agency Overall,2021,0,45,45,0
Committee for Purchase from People Who Are Blind or Severely Disabled,Agency Overall,2021,27,11,8,30
Institute of Museum and Library Services,Agency Overall,2021,2,40,41,1
Federal Retirement Thrift Investment Board,Agency Overall,2021,4,43,42,5
Equal Employment Opportunity Commission,Agency Overall,2021,2003,15320,16048,1275
U.S. Commission for the Preservation of America’s Heritage Abroad,Agency Overall,2021,1,4,3,2
Millennium Challenge Corporation,Agency Overall,2021,1,24,23,2
James Madison Memorial Fellowship Foundation,Agency Overall,2021,0,8,8,0
Office of the Special Inspector General for Afghanistan Reconstruction,Agency Overall,2021,1,16,13,4
Department of Justice,Agency Overall,2021,36957,97490,75511,58936
Office of the Director of National Intelligence,Agency Overall,2021,709,441,651,499
Selective Service System,Agency Overall,2021,0,39,39,0
Federal Open Market Committee,Agency Overall,2021,0,36,36,0
General Services Administration,Agency Overall,2021,454,1349,1294,509
National Endowment for the Arts,Agency Overall,2021,1,41,41,1
Federal Labor Relations Authority,Agency Overall,2021,0,101,97,4
U.S. Department of State,Agency Overall,2021,14877,10683,9505,16055
National Aeronautics and Space Administration,Agency Overall,2021,84,759,775,68
Denali Commission,Agency Overall,2021,0,9,9,0
U.S. Election Assistance Commission,Agency Overall,2021,41,92,45,88
U.S. Railroad Retirement Board,Agency Overall,2021,1,70,70,1
Social Security Administration,Agency Overall,2021,1908,13440,14662,686
Central Intelligence Agency,Agency Overall,2021,2895,2837,2870,2862
United States Postal Service,Agency Overall,2021,396,4864,4905,355
National Labor Relations Board,Agency Overall,2021,47,1436,1411,72
Privacy and Civil Liberties Oversight Board,Agency Overall,2021,11,29,28,12
U.S. International Development Finance Corporation,Agency Overall,2021,53,81,61,73
Farm Credit Administration,Agency Overall,2021,0,55,55,0
Department of Veterans Affairs,Agency Overall,2021,5781,27762,30227,3316
Farm Credit System Insurance Corporation,Agency Overall,2021,0,5,5,0
United States International Trade Commission,Agency Overall,2021,2,37,25,14
National Capital Planning Commission,Agency Overall,2021,0,8,8,0
Office of Government Ethics,Agency Overall,2021,33,88,109,12
National Railroad Passenger Corporation,Agency Overall,2021,138,164,27,275
Appraisal Subcommittee,Agency Overall,2021,0,13,13,0
Department of Energy,Agency Overall,2021,708,1492,1408,792
Occupational Safety and Health Review Commission,Agency Overall,2021,6,143,148,1
Inter-American Foundation,Agency Overall,2021,0,8,7,1
Court Services and Offender Supervision Agency,Agency Overall,2021,0,99,99,0
Federal Housing Finance Agency,Agency Overall,2021,37,108,124,21
Office of Personnel Management,Agency Overall,2021,422,640,842,220
Postal Regulatory Commission,Agency Overall,2021,1,27,27,1
